date,open,high,low,close,volume
23/7/2020,94.0022,94.0797,89.1687,89.9779,47730201
24/7/2020,88.1778,90.099,86.3922,89.755,44928088
27/7/2020,90.8163,91.9744,90.5934,91.8823,29367738
28/7/2020,91.4535,91.6303,90.3681,90.3729,25106421
29/7/2020,90.855,92.2893,90.8187,92.1052,21884967
30/7/2020,91.279,93.3239,90.872,93.2197,38311756
31/7/2020,99.7079,103.129,97.7115,102.979,90694328
3/8/2020,104.859,108.19,104.561,105.574,74658866
4/8/2020,105.762,107.369,105.04,106.279,41931770
5/8/2020,106,106.984,105.535,106.664,29504091
6/8/2020,106.996,110.88,106.407,110.385,49044454
7/8/2020,109.907,110.363,107.079,107.876,48069002
10/8/2020,109.32,110.46,106.795,109.443,51553907
11/8/2020,108.708,109.206,105.929,106.189,45607069
12/8/2020,107.278,109.975,107.084,109.718,40193416
13/8/2020,111.096,112.662,110.608,111.66,50990460
14/8/2020,111.485,111.65,109.752,111.56,40185447
17/8/2020,112.681,112.706,110.643,111.269,29019619
18/8/2020,111.021,112.621,110.686,112.196,25639063
19/8/2020,112.604,113.749,112.242,112.337,35324512
20/8/2020,112.378,114.943,112.361,114.829,30802505
21/8/2020,115.788,121.23,115.776,120.747,82051611
24/8/2020,124.948,125.033,120.327,122.191,83964854
25/8/2020,121.065,121.533,119.468,121.188,51333536
26/8/2020,122.504,123.293,121.439,122.837,39568293
27/8/2020,123.438,123.771,120.225,121.368,37755178
28/8/2020,122.341,122.759,120.948,121.172,45540950
31/8/2020,123.863,127.184,122.329,125.281,219127342
1/9/2020,128.892,130.873,126.727,130.271,147521471
2/9/2020,133.582,133.96,123.3,127.572,194289049
3/9/2020,123.213,125.087,116.99,117.358,250094945
4/9/2020,116.572,120.096,107.66,117.436,322917431
8/9/2020,110.63,115.524,109.397,109.533,224626371
9/9/2020,113.844,115.669,111.902,113.902,171785818
10/9/2020,116.854,116.99,109.223,110.184,176964207
11/9/2020,111.232,111.873,106.795,108.737,175591290
14/9/2020,111.378,112.553,109.514,111.999,136067208
15/9/2020,114.883,115.368,110.3,112.174,179262867
16/9/2020,111.873,112.621,108.776,108.863,150172852
17/9/2020,106.524,108.931,105.543,107.126,172825062
18/9/2020,107.184,107.65,102.999,103.728,278740860
21/9/2020,101.494,106.98,100.096,106.873,190012178
22/9/2020,109.397,109.572,105.98,108.553,177722546
23/9/2020,108.368,108.844,103.66,103.999,146327850
24/9/2020,102.106,107.038,101.941,105.067,162856548
25/9/2020,105.271,109.164,104.533,109.009,145612063
28/9/2020,111.659,111.96,109.494,111.611,133661626
29/9/2020,111.213,111.951,110.261,110.766,96486972
30/9/2020,110.475,113.844,110.31,112.436,138518634
1/10/2020,114.213,114.29,112.456,113.388,112737507
2/10/2020,109.601,112.009,108.951,109.727,140496120
5/10/2020,110.591,113.252,110.242,113.106,103148594
6/10/2020,112.329,112.737,108.98,109.863,156793259
7/10/2020,111.281,112.184,110.805,111.727,94027520
8/10/2020,112.863,113.009,111.252,111.621,81045274
9/10/2020,111.922,113.591,111.572,113.562,97578907
12/10/2020,116.562,121.533,115.805,120.776,233228360
13/10/2020,121.62,121.737,116.164,117.572,254688039
14/10/2020,117.475,119.446,116.135,117.659,146321342
15/10/2020,115.261,117.669,114.708,117.193,109280054
16/10/2020,117.747,118.009,115.349,115.553,112032042
19/10/2020,116.465,116.912,112.29,112.601,117124762
20/10/2020,112.815,115.514,112.261,114.087,120798884
21/10/2020,113.271,115.252,113.058,113.465,87325660
22/10/2020,114.028,114.601,111.252,112.378,99016823
23/10/2020,112.999,113.155,110.951,111.689,80167056
26/10/2020,110.689,113.155,109.591,111.698,108592204
27/10/2020,112.125,113.863,111.203,113.203,89588506
28/10/2020,111.698,112.067,107.863,107.96,139744447
29/10/2020,109.096,113.523,108.931,111.96,141872040
30/10/2020,107.825,108.727,104.582,105.689,184729420
2/11/2020,105.931,107.456,104.193,105.601,119287415
3/11/2020,106.465,108.242,105.562,107.223,104489026
4/11/2020,110.815,112.223,109.077,111.601,134208331
5/11/2020,114.514,116.135,113.465,115.562,122705066
6/11/2020,115.071,115.927,112.941,115.431,111315105
9/11/2020,117.191,118.64,112.864,113.126,150272638
10/11/2020,112.377,114.361,110.996,112.786,134233559
11/11/2020,113.972,116.345,113.243,116.209,109211657
12/11/2020,116.336,117.221,115.314,115.937,100329729
13/11/2020,116.16,116.384,114.634,115.985,79341852
16/11/2020,115.655,117.668,114.906,116.997,88679295
17/11/2020,116.267,117.357,115.694,116.112,72231673
18/11/2020,115.353,116.53,114.76,114.789,74226492
19/11/2020,114.361,115.791,113.603,115.382,72078016
20/11/2020,115.382,115.509,114.07,114.118,71583287
23/11/2020,113.963,114.39,110.627,110.724,124445786
24/11/2020,110.782,112.669,109.498,112.008,110747480
25/11/2020,112.377,113.544,112.008,112.844,74398719
27/11/2020,113.369,114.264,113.029,113.389,45409262
30/11/2020,113.758,117.648,113.603,115.781,164758641
1/12/2020,117.687,120.08,116.715,119.35,124221087
2/12/2020,118.67,119.982,117.571,119.701,86560345
3/12/2020,120.129,120.381,118.854,119.564,76799363
4/12/2020,119.234,119.487,118.183,118.893,76111552
7/12/2020,118.952,121.15,118.893,120.352,84331081
8/12/2020,120.955,121.548,119.71,120.965,79967769
9/12/2020,121.111,122.492,117.678,118.436,111929114
10/12/2020,117.191,120.469,116.851,119.856,79079545
11/12/2020,119.068,119.389,117.24,119.049,84552631
14/12/2020,119.234,119.963,118.203,118.436,77010275
15/12/2020,120.926,124.388,120.722,124.369,152926138
16/12/2020,123.912,124.845,123.085,124.301,95511994
17/12/2020,125.361,126.022,124.524,125.166,91768901
18/12/2020,125.419,125.555,122.657,123.182,187254742
21/12/2020,121.587,124.787,120.06,124.709,117922311
22/12/2020,127.996,130.719,126.09,128.259,164267090
23/12/2020,128.531,128.794,127.189,127.364,85801253
24/12/2020,127.714,129.796,127.5,128.346,53421843
28/12/2020,130.311,133.569,129.844,132.937,121068089
29/12/2020,134.26,134.979,130.651,131.167,117723638
30/12/2020,131.857,132.256,129.737,130.048,93803779
31/12/2020,130.398,131.04,128.103,129.047,96395058
4/1/2021,129.854,129.941,123.28,125.857,139367160
5/1/2021,125.351,128.123,124.904,127.413,94983271
6/1/2021,124.213,127.452,122.91,123.124,150829695
7/1/2021,124.836,128.016,124.349,127.325,106569403
8/1/2021,128.794,128.988,126.654,128.424,102270789
11/1/2021,125.643,126.596,124.972,125.438,97628168
12/1/2021,124.972,126.129,123.377,125.263,89426371
13/1/2021,125.225,127.841,124.962,127.296,86203063
14/1/2021,127.209,127.403,125.225,125.37,87744497
15/1/2021,125.244,126.644,123.513,123.649,108534237
19/1/2021,124.271,125.176,123.454,124.32,88265326
20/1/2021,125.127,128.852,125.02,128.405,101455158
21/1/2021,130.126,135.835,129.922,133.112,116851864
22/1/2021,132.538,136.01,131.313,135.251,111316643
25/1/2021,139.142,141.106,132.791,138.996,153283995
26/1/2021,139.657,140.338,137.488,139.229,95689051
27/1/2021,139.492,140.338,136.555,138.159,136976594
28/1/2021,135.689,138.091,132.947,133.326,138705028
29/1/2021,132.1,132.986,126.635,128.337,172649429
1/2/2021,130.077,131.663,127.335,130.457,103322680
2/2/2021,132.003,132.567,130.914,131.283,81018035
3/2/2021,132.032,132.042,129.941,130.262,87412967
4/2/2021,132.557,133.627,130.895,133.618,81871634
5/2/2021,133.778,133.846,132.327,133.204,73725407
8/2/2021,132.493,133.398,131.411,133.35,69443140
9/2/2021,133.067,134.294,132.317,132.473,74777710
10/2/2021,132.931,133.428,130.905,131.869,71147086
11/2/2021,132.366,132.843,130.291,131.616,62608425
12/2/2021,130.856,132.006,130.214,131.85,58581070
16/2/2021,131.967,132.473,129.337,129.727,78480977
17/2/2021,127.837,128.782,126.103,127.438,95372200
18/2/2021,125.84,126.619,124.097,126.337,94338023
19/2/2021,126.853,127.311,125.451,126.493,85389020
22/2/2021,124.681,126.347,122.334,122.723,101214079
23/2/2021,120.542,123.415,115.311,122.587,154157223
24/2/2021,121.691,122.295,119.051,122.09,108152420
25/2/2021,121.438,123.172,117.405,117.844,144345627
26/2/2021,119.402,121.603,118.048,118.107,160281097
1/3/2021,120.532,124.603,119.597,124.467,113283385
2/3/2021,125.071,125.373,121.759,121.866,99601643
3/3/2021,121.564,122.441,118.672,118.886,110028676
4/3/2021,118.584,120.386,115.535,117.006,173522199
5/3/2021,117.834,118.769,114.513,118.262,149767934
8/3/2021,117.785,117.853,113.188,113.334,150362092
9/3/2021,115.935,118.886,115.701,117.941,126157530
10/3/2021,118.525,118.993,116.344,116.86,109032289
11/3/2021,119.353,120.006,118.107,118.788,100347355
12/3/2021,117.269,118.019,116.061,117.883,85813989
15/3/2021,118.253,120.775,117.288,120.766,90000884
16/3/2021,122.431,123.912,121.477,122.305,112231442
17/3/2021,120.824,122.587,119.159,121.516,109021868
18/3/2021,119.685,119.977,117.191,117.396,118077205
19/3/2021,116.782,118.272,116.568,116.87,180724347
22/3/2021,117.201,120.649,117.133,120.181,109002072
23/3/2021,120.123,121.009,118.964,119.353,92984519
24/3/2021,119.626,119.704,116.948,116.967,86228294
25/3/2021,116.431,118.496,115.905,117.454,96274279
26/3/2021,117.22,118.321,115.828,118.058,91624930
29/3/2021,118.487,119.392,117.59,118.233,78717528
30/3/2021,116.987,117.269,115.769,116.782,83444073
31/3/2021,118.487,120.308,118,118.974,115246897
1/4/2021,120.444,120.951,119.305,119.801,73136478
5/4/2021,120.649,122.879,119.87,122.626,86345846
6/4/2021,123.211,123.824,122.383,122.928,78086503
7/4/2021,122.558,124.593,121.886,124.574,81296174
8/4/2021,125.597,126.999,125.178,126.97,86534272
9/4/2021,126.425,129.58,126.103,129.541,103912365
12/4/2021,129.074,129.395,127.233,127.827,89042690
13/4/2021,128.996,131.158,128.499,130.934,88893150
14/4/2021,131.431,131.489,128.236,128.597,84954598
15/4/2021,130.34,131.489,130.165,131.002,87023677
16/4/2021,130.808,131.168,129.814,130.671,82714076
19/4/2021,130.038,131.947,129.873,131.334,91812939
20/4/2021,131.509,132.006,128.382,129.649,92346796
21/4/2021,128.918,130.272,127.886,130.028,67056766
22/4/2021,129.58,130.661,127.993,128.509,82367412
23/4/2021,128.723,131.606,128.723,130.827,76612065
26/4/2021,131.324,131.548,130.087,131.217,65165279
27/4/2021,131.499,131.889,130.623,130.895,64299114
28/4/2021,130.817,131.509,129.619,130.106,104957837
29/4/2021,132.921,133.505,129.006,130.009,147171672
30/4/2021,128.353,130.087,127.662,128.042,106983222
3/5/2021,128.606,130.584,128.402,129.093,73181270
4/5/2021,127.778,128.071,123.405,124.525,133987372
5/5/2021,125.84,127.058,124.642,124.769,81816483
6/5/2021,124.564,126.376,123.824,126.366,76096627
7/5/2021,127.664,128.064,126.327,127.039,77050308
10/5/2021,126.259,126.386,123.722,123.761,85926665
11/5/2021,120.493,123.195,119.781,122.844,123071231
12/5/2021,120.395,121.605,119.273,119.781,109440950
13/5/2021,121.547,123.078,121.234,121.927,103283594
14/5/2021,123.176,124.776,122.786,124.347,79923302
17/5/2021,123.732,123.839,122.122,123.195,72436729
18/5/2021,123.478,123.898,121.742,121.81,61800499
19/5/2021,120.161,121.878,119.868,121.654,90356899
20/5/2021,122.181,124.61,122.054,124.21,74985629
